Sample,Phi (degrees),Peak Name,Peak Center (Theta),Tilt Angle (Chi),FWHM (degrees),Net Height,Net Area (cts deg),Area/Base Ratio
SH-104-1,120,Peak 1 (Tilt),9.001649105366099,-5.701633088868091,0.0,0.0,0.0,0.0
SH-104-1,120,Peak 2a (Tilt),12.199970892908498,-2.5033113013256916,0.0,0.0,0.0,0.0
SH-104-1,120,Peak 2b (Tilt),13.402259104231467,-1.3010230900027224,0.6219159101840563,1750.33763636645,1158.6506810946303,0.012634184470188698
SH-104-1,120,Peak 3 (Specular),14.23292028652416,-0.4703619077100285,0.6185694101409027,2542.114934619713,1673.7193766953585,0.01935910273353825
SH-104-1,120,Minor Peak A (Tilt),16.800604714815435,2.097322520581246,0.6362108098242626,1700.0074679157997,1151.200304508407,0.015653761302906556
SH-104-1,120,Minor Peak B (Tilt),17.599486682285587,2.8962044880513975,0.6202584536520459,941.7523467054385,621.7394517287289,0.00884385696533844
SH-104-1,120,Peak 4 (Tilt),23.11536076539162,8.412078571157432,0.0,0.0,0.0,0.0
SH-104-1,150,Peak 1 (Tilt),10.379368212705709,-4.322697680591608,0.6499799999999999,883.2459392158519,611.0555115348451,0.0072108153542841886
SH-104-1,150,Peak 2a (Tilt),12.038166282440754,-2.6638996108565625,0.10518410725377765,810.5166462434281,90.742572414017,0.0012396017707360333
SH-104-1,150,Peak 2b (Tilt),12.672064152923225,-2.0300017403740913,0.0,0.0,0.0,0.0
SH-104-1,150,Peak 3 (Specular),14.045425045198227,-0.6566408480990891,0.0,0.0,0.0,0.0
SH-104-1,150,Minor Peak A (Tilt),16.80000000000446,2.097934106707143,0.0,0.0,0.0,0.0
SH-104-1,150,Minor Peak B (Tilt),17.89999999997897,3.197934106681654,0.0,0.0,0.0,0.0
SH-104-1,150,Peak 4 (Tilt),21.533173551645508,6.831107658348191,0.0,0.0,0.0,0.0
